epoch,categorical_accuracy,learning_rate,loss,top_3_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_3_categorical_accuracy,val_w_categorical_accuracy,val_w_top_3_categorical_accuracy,w_categorical_accuracy,w_top_3_categorical_accuracy
0,0.435168594121933,9.999999747378752e-05,3.0514280796051025,0.6368438005447388,0.42199379205703735,2.127471446990967,0.840032160282135,0.42199379205703735,0.840032160282135,0.24035239219665527,0.3776916563510895
1,0.5956748127937317,9.999999747378752e-05,2.27677583694458,0.8540297150611877,0.3726952373981476,1.9701581001281738,0.7999835014343262,0.3726952373981476,0.7999835014343262,0.362091064453125,0.569873571395874
2,0.688362717628479,9.999999747378752e-05,1.9377323389053345,0.8922260403633118,0.5590737462043762,1.742118239402771,0.8340578079223633,0.5590737462043762,0.8340578079223633,0.4167259931564331,0.643713653087616
3,0.7171798348426819,9.999999747378752e-05,1.6855355501174927,0.8931643962860107,0.702869713306427,1.3211685419082642,0.915988564491272,0.702869713306427,0.915988564491272,0.4712688624858856,0.6959749460220337
4,0.7404155135154724,9.999999747378752e-05,1.5113033056259155,0.9089419841766357,0.7135823369026184,1.659769058227539,0.768257737159729,0.7135823369026184,0.768257737159729,0.5040577054023743,0.7427611947059631
5,0.761887788772583,9.999999747378752e-05,1.3313994407653809,0.9162059426307678,0.8531138896942139,1.20408034324646,0.894171953201294,0.8531138896942139,0.894171953201294,0.5662847757339478,0.7766988277435303
6,0.7773054838180542,9.999999747378752e-05,1.1922571659088135,0.9412333369255066,0.7083496451377869,1.245568871498108,0.9229723215103149,0.7083496451377869,0.9229723215103149,0.5876482129096985,0.8022100329399109
7,0.759436845779419,9.999999747378752e-05,1.1462043523788452,0.9176821708679199,0.8031355142593384,1.1409367322921753,0.9292969107627869,0.8031355142593384,0.9292969107627869,0.6031675338745117,0.8010985255241394
8,0.7836472392082214,9.999999747378752e-05,1.1117980480194092,0.9294354915618896,0.7157248258590698,1.2329436540603638,0.927236795425415,0.7157248258590698,0.927236795425415,0.6298625469207764,0.819735586643219
9,0.7729697823524475,9.999999747378752e-05,1.024817705154419,0.9460664987564087,0.675470232963562,1.2506630420684814,0.9293586611747742,0.675470232963562,0.9293586611747742,0.636302649974823,0.8362686038017273
10,0.7943894863128662,9.999999747378752e-05,0.9552085995674133,0.9566752314567566,0.8629817962646484,1.1594109535217285,0.9354360103607178,0.8629817962646484,0.9354360103607178,0.6645535826683044,0.8613016605377197
11,0.8415888547897339,4.999999873689376e-05,0.8143292665481567,0.969823956489563,0.8958406448364258,1.0839561223983765,0.9366720914840698,0.8958406448364258,0.9366720914840698,0.6909621357917786,0.8633756637573242
12,0.8409740924835205,4.999999873689376e-05,0.7405924201011658,0.9679594039916992,0.8555036187171936,1.1427948474884033,0.9395768642425537,0.8555036187171936,0.9395768642425537,0.713609516620636,0.8829594254493713
13,0.8502278923988342,4.999999873689376e-05,0.7181797623634338,0.9711869359016418,0.7234090566635132,1.2044835090637207,0.9357450604438782,0.7234090566635132,0.9357450604438782,0.7252749800682068,0.8911821842193604
14,0.8441206812858582,4.999999873689376e-05,0.6860270500183105,0.9698805809020996,0.8676994442939758,1.123652696609497,0.9306565523147583,0.8676994442939758,0.9306565523147583,0.7273988127708435,0.8900163173675537
15,0.8611925840377808,2.499999936844688e-05,0.6328696012496948,0.9734397530555725,0.8645063042640686,1.1237989664077759,0.9306565523147583,0.8645063042640686,0.9306565523147583,0.7422271966934204,0.8968260288238525
16,0.8610267639160156,2.499999936844688e-05,0.6196838617324829,0.9739170074462891,0.7592344880104065,1.1638063192367554,0.932428240776062,0.7592344880104065,0.932428240776062,0.7468183040618896,0.8926841616630554
17,0.8451520800590515,2.499999936844688e-05,0.6089296340942383,0.9743982553482056,0.7650645971298218,1.158748984336853,0.9333965182304382,0.7650645971298218,0.9333965182304382,0.7550880908966064,0.898628294467926
18,0.8486424684524536,1.249999968422344e-05,0.5842058658599854,0.9765580296516418,0.7280855178833008,1.183896780014038,0.9336643218994141,0.7280855178833008,0.9336643218994141,0.756106972694397,0.8993654847145081
19,0.8644686341285706,1.249999968422344e-05,0.5764501094818115,0.9753730297088623,0.8640736937522888,1.1672780513763428,0.9360334277153015,0.8640736937522888,0.9360334277153015,0.7686730623245239,0.9004862308502197
20,0.8847963213920593,1.249999968422344e-05,0.5693156719207764,0.9765661358833313,0.7691642045974731,1.1798650026321411,0.9327166676521301,0.7691642045974731,0.9327166676521301,0.7634864449501038,0.9007735252380371
21,0.8547213673591614,6.24999984211172e-06,0.5524778366088867,0.9757733941078186,0.871407687664032,1.1565321683883667,0.9335407018661499,0.871407687664032,0.9335407018661499,0.769661545753479,0.9031395316123962
22,0.8634898662567139,6.24999984211172e-06,0.5475823879241943,0.9766187071800232,0.8867967128753662,1.1452572345733643,0.9331699013710022,0.8867967128753662,0.9331699013710022,0.7688198089599609,0.9013375043869019
